STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên Tu Tập (Advice)
33,"Quẻ Số 33 - Trung Bình (Bão Thúc nha nhi)","Thạch tàng vô giá ngọc hòa trân,\nChỉ quản tha hương cầu biệt trân.\nKiến đắc bảo anh câu thiện giã,\nBất như thủ cựu đãi thời xuân.","Đá giữ ngọc quý với trân châu,\nChỉ quản tha hương tìm ngọc mầu.\nThấy được ngọc quý đều giá thiện,\nChi bằng giữ cũ đợi xuân sau.","Có ngọc quý trong tay mà không biết, lại lặn lội đi tìm ở nơi xa. Quẻ khuyên đừng đứng núi này trông núi nọ. Cái quý giá nhất đang ở ngay bên cạnh hoặc trong chính bản thân mình. Hãy trân trọng hiện tại.","Đừng tìm hạnh phúc ở đâu xa xôi. Hãy quay về trân quý những gì mình đang có (gia đình, sức khỏe, công việc hiện tại). Thực hành chánh niệm để nhận diện 'viên ngọc quý' ngay trong phút giây hiện tại."
34,"Quẻ Số 34 - Trung Bình (Đào Uyên Minh quy ẩn)","Hành tàng xuất xử lễ nghi cung,\nNgôn tất trung tín hành tất đốc.\nBán lộ thiết vật ngộ chư tục,\nThả thoái điền viên tri túc lạc.","Hành tàng xuất xử lễ nghi cung,\nNói ắt tín trung làm ắt xong.\nGiữa đường chớ đừng gặp việc tục,\nHãy lui vườn ruộng biết đủ vui.","Thời thế chưa thuận, nên lui về quy ẩn như Đào Uyên Minh. Giữ gìn lễ nghĩa, trung tín. Tránh xa chốn quan trường hay tranh đoạt danh lợi thị phi. Biết đủ (tri túc) thì tâm sẽ an lạc.","Học hạnh 'Thiểu dục tri túc' (ít muốn biết đủ). Cuộc sống đơn giản, gần gũi thiên nhiên giúp tâm hồn thanh thản. Đừng bán rẻ lương tâm vì danh lợi. Giữ gìn khí tiết của người quân tử."
35,"Quẻ Số 35 - Thượng Thượng (Đường Tăng thỉnh kinh)","Y quan trọng chỉnh cựu gia phong,\nĐạo thị vô khung khước hữu công.\nTảo biến tam thiên đồ lộ viễn,\nBất lao tâm lực thủy thành công.","Áo mũ chỉnh tề nếp nhà xưa,\nNói rằng vô cùng lại có công.\nDạo khắp ba ngàn đường đất thẳm,\nChẳng nhọc tâm sức mới thành công.","Mọi việc sẽ được sắp xếp ổn thỏa, khôi phục lại nếp cũ tốt đẹp. Tuy đường đi có xa xôi (như Đường Tăng đi thỉnh kinh) nhưng kết quả sẽ viên mãn, công đức vô lượng, không uổng phí tâm sức.","Phát nguyện lớn (Bồ Đề Tâm) thì sẽ có chư Phật gia hộ. Dù hành trình tu tập hay sự nghiệp có gian nan, hãy kiên định với mục tiêu ban đầu. Khó khăn chỉ là thử thách để rèn luyện ý chí."
36,"Quẻ Số 36 - Trung Bình (Tương Tử ngộ hiền)","Mục tiền bệnh tụng bất tu ưu,\nThực lộc ngộ thời thả đãi thu.\nĐãi đắc vân khai minh nguyệt hiện,\nChỉ giao nhất bộ tiện thành công.","Trước mắt bệnh kiện chớ nên lo,\nLộc thực gặp thời hãy đợi thu.\nĐợi được mây tan trăng sáng tỏ,\nChỉ giao một bước ắt thành công.","Hiện tại có thể đang vướng chút rắc rối về sức khỏe hoặc giấy tờ pháp lý, nhưng đừng quá lo lắng. Đến mùa thu vận khí sẽ tốt lên. Mây tan trăng sáng, chỉ cần tiến thêm một bước là thành công.","Giữ vững niềm tin vào lẽ phải. Khi gặp chướng ngại, đừng sợ hãi mà hãy bình tĩnh đối mặt. Thời gian sẽ trả lời tất cả. Tu tập sự nhẫn nại, chờ đợi thời cơ chín muồi để hành động."
37,"Quẻ Số 37 - Trung Bình (Quản Trọng xạ Tề Hoàn Công)","Dục đãi thân tiền bất tự do,\nNhất trường ưu sự vị năng hưu.\nỨng tư tiến thoái thành nan quyết,\nKhước nhẫn thanh đăng thính dạ du.","Muốn đợi trước thân chẳng tự do,\nMột tràng lo liệu chưa chịu thôi.\nNên nghĩ tới lui đà khó quyết,\nĐành nhẫn đèn xanh nghe dạo chơi.","Tiến thoái lưỡng nan, lòng nhiều lo âu không dứt. Muốn làm nhưng bị ràng buộc không tự do. Lúc này không nên quyết định vội vàng, nên nhẫn nại, tĩnh tâm suy xét kỹ lưỡng.","Khi tâm trí rối bời, mọi quyết định đều dễ sai lầm. Hãy dừng lại, thắp đèn đọc sách hoặc tụng kinh để tâm trí lắng dịu. Sự sáng suốt chỉ xuất hiện khi tâm hồ như mặt nước tĩnh lặng."
38,"Quẻ Số 38 - Hạ Hạ (Hà Văn Tú ngộ nạn)","Nguyệt chiếu thiên thư tĩnh xứ kỳ,\nPhong xuy diệp lạc biến tham si.\nThử tâm bất thụ nhân khi dỗ,\nNgộ nạn phùng hung hối hậu trì.","Trăng soi sách trời nơi hẹn tĩnh,\nGió thổi lá rơi hóa tham si.\nLòng này chẳng chịu người khi dỗ,\nGặp nạn gặp hung hối muộn màng.","Tâm không vững, dễ bị ngoại cảnh tác động (gió thổi lá rơi) sinh ra tham sân si. Dễ bị người khác dụ dỗ dẫn đến tai họa, khi xảy ra chuyện rồi mới hối hận thì đã muộn.","Cảnh giác cao độ với lòng tham của chính mình. Đừng vì cái lợi trước mắt mà nghe lời xúi giục làm điều sai trái. Phải giữ tâm kiên định (Bất động tâm) trước cám dỗ. Thường xuyên sám hối để tiêu trừ nghiệp chướng."
39,"Quẻ Số 39 - Hạ Hạ (Khương Nữ tầm phu)","Thiên biên tiêu tức ưng nan vấn,\nThiết thiết tư quân mộng dã nhàn.\nTuy hữu tử sinh tình đệ nhất,\nTranh như cô phụ cẩm giang san.","Tin tức bên trời thật khó tin,\nThiết tha nhớ chúa mộng cũng nhàn.\nTuy có tử sinh tình thứ nhất,\nSao bằng cô phụ gấm giang san.","Mong ngóng tin tức người xa nhưng bặt vô âm tín (như Mạnh Khương Nữ tìm chồng). Tình cảm sâu nặng nhưng hoàn cảnh chia cách, trắc trở. Việc mưu cầu khó thành, tốn nhiều tâm sức.","Đây là quẻ nói về sự thử thách của tình cảm và lòng trung trinh. Hãy buông xả sự dính mắc đau khổ. Nếu không thể thay đổi hoàn cảnh, hãy thay đổi thái độ của mình. Chuyển hóa tình yêu nhỏ bé thành tình thương rộng lớn cho chúng sinh."
40,"Quẻ Số 40 - Thượng Cát (Võ Tắc Thiên đăng vị)","Hồng phát vô biên biến hồng quân,\nNhất nhân tham chính vạn dân sùng.\nLũng đầu xuân sắc chiêm tiên đắc,\nTuy thị hàn môn tự cải dung.","Vận đỏ vô biên khắp trời xoay,\nMột người tham chính vạn dân vầy.\nĐầu non sắc xuân xem chiếm trước,\nTuy là cửa lạnh tự đổi thay.","Vận khí cực thịnh, đỏ rực như mặt trời. Từ thân phận thấp kém (hàn môn) vươn lên đỉnh cao quyền lực (như Võ Tắc Thiên lên ngôi), được vạn người tôn sùng. Làm gì cũng tiên phong và thành công rực rỡ.","Khi đứng trên đỉnh cao danh vọng, trách nhiệm càng lớn. Hãy dùng quyền lực và tầm ảnh hưởng của mình để tạo phúc cho muôn dân. Đừng quên xuất thân khi hàn vi, luôn giữ tâm khiêm cung và lòng biết ơn."
41,"Quẻ Số 41 - Trung Bình (Đổng Trác nhận Lã Bố)","Vô hạn hảo ngôn quân mạc tín,\nBất như thủ cựu đãi thời chu.\nĐãi khán nhất điểm đào hồng sắc,\nTiện tri khô mộc hựu phùng xuân.","Vô vàn lời đẹp bạn chớ tin,\nChi bằng giữ cũ đợi thời chân.\nChờ xem một điểm màu đào đỏ,\nMới biết cây khô lại gặp xuân.","Bề ngoài nghe toàn lời đường mật nhưng bên trong chưa chắc đã thật lòng (như Đổng Trác nhận Lã Bố). Hiện tại chớ nên tin lời hứa hẹn ngon ngọt. Cứ giữ cũ, đợi khi có dấu hiệu rõ ràng (hoa đào nở) mới hành động.","Cảnh giác với 'Ái ngữ' nhưng xuất phát từ tâm mưu cầu lợi ích. Hãy dùng trí tuệ để soi xét lòng người. Đừng vì tham cái lợi trước mắt mà sa vào bẫy ngọt ngào. Tu tâm 'Chính tư duy' để nhận diện sự thật."
42,"Quẻ Số 42 - Thượng Cát (Mục Liên cứu Mẫu)","Quân hoàng nhất đức ngộ nhân tình,\nNhất cử đăng khoa chí cửu doanh.\nTự thử môn quang giai hiển hách,\nNhi tôn tân hỷ vạn ban thành.","Vua ban một đức gặp nhân tình,\nMột cử đăng khoa chí chín thành.\nTừ đó cửa nhà đều hiển hách,\nCháu con mừng mới vạn việc thành.","Lòng hiếu thảo động lòng trời đất (như Mục Kiền Liên cứu mẹ). Sự nghiệp thi cử đỗ đạt, công danh rạng rỡ. Gia môn được phúc ấm, con cháu đời đời hưởng lộc nhờ đức độ của tổ tiên.","Đây là quẻ đề cao hạnh 'Hiếu'. Hiếu dưỡng cha mẹ là phước báu lớn nhất của đời người. Hãy noi gương tôn giả Mục Kiền Liên, tu tập và hồi hướng công đức để báo hiếu cho cha mẹ hiện tiền và cửu huyền thất tổ."
43,"Quẻ Số 43 - Thượng Cát (Hành Xương tòng Quân)","Thiên địa biến thông vạn vật toàn,\nTự vinh tự dưỡng sướng tâm điền.\nĐạo nhân mưu vọng tiền hanh thái,\nĐắc danh đắc lợi thính đương niên.","Trời đất biến thông vạn vật toàn,\nTự vinh tự dưỡng sướng tâm điền.\nĐạo nhân mưu vọng đường hanh thái,\nĐược danh được lợi tiếng vang rền.","Thời vận hanh thông, trời đất dung hòa, vạn vật tốt tươi. Mọi mưu cầu đều thuận lợi, danh lợi song toàn. Đây là lúc gặt hái thành quả sau bao ngày vun trồng.","Khi phước báu trổ quả, hãy mở rộng lòng từ bi. Đừng chỉ hưởng thụ một mình (tự vinh tự dưỡng) mà hãy chia sẻ sự thịnh vượng đó với cộng đồng. Hạnh 'Bố thí' lúc này sẽ giúp phước đức trường tồn."
44,"Quẻ Số 44 - Trung Bình (Khương Duy bói quẻ)","Kỳ bàn trung cục tối nan thắng,\nTự bị người đà ngộ nhất trước.\nKim hạ khuyên quân hưu hạ thủ,\nTự cá lão thiên tự hữu trương.","Bàn cờ thế cuộc rất khó thắng,\nTự bị người ta lầm một chước.\nGiờ đây khuyên bạn chớ ra tay,\nTự có trời già tự chủ trương.","Thế cuộc như bàn cờ bí, một nước đi sai là hỏng cả ván. Đang bị đối phương lấn lướt hoặc mình tự mắc sai lầm. Tốt nhất là ngừng tay, không nên mạo hiểm, để trời cao an bài.","Cuộc đời như ván cờ, thắng thua là chuyện thường tình. Khi bế tắc, đừng cố cưỡng cầu hay dùng thủ đoạn. Hãy học cách buông xả, lùi một bước biển rộng trời cao. 'Vô vi' đôi khi là hành động sáng suốt nhất."
45,"Quẻ Số 45 - Thượng Cát (Nhân Tông nhận Mẫu)","Ôn nhu tự cổ thắng cương cường,\nTích thiện chi gia đại cát xương.\nNhược thị hữu nhân cầu vấn sự,\nQuản giáo như ý đắc hoàn lương.","Ôn nhu từ cổ thắng cương cường,\nNhà tích điều thiện đại cát xương.\nNếu như có người cầu hỏi việc,\nBảo cho như ý được hoàn lương.","Dùng sự mềm mỏng để thắng kẻ mạnh, lấy nhu thắng cương. Nhà nào tích đức hành thiện (tích thiện chi gia) ắt có dư phúc. Việc cầu xin sẽ được toại nguyện, mọi sự tốt đẹp.","Thực hành hạnh 'Nhu hòa nhẫn nhục'. Sự dịu dàng và lòng trắc ẩn có sức mạnh chuyển hóa lớn hơn bạo lực hay quyền uy. Hãy kiên trì làm việc thiện nhỏ mỗi ngày, nước chảy đá mòn."
46,"Quẻ Số 46 - Trung Bình (Vị Thủy điếu ngư)","Khuyên quân nại thủ cựu sinh nhai,\nBả định tâm tràng vật chuyển hoài.\nTrực đãi hữu nhân khinh trước lực,\nKhô chi lão mộc cánh hoa khai.","Khuyên bạn kiên trì giữ nghiệp xưa,\nGiữ định lòng son chớ đổi thay.\nĐợi đến có người ra sức giúp,\nCành khô cây cổ lại hoa bay.","Hãy kiên nhẫn như Khương Tử Nha câu cá chờ thời. Đừng vội bỏ nghề cũ hay thay đổi định hướng. Khi đúng thời điểm, sẽ có quý nhân giúp sức, lúc đó sự nghiệp mới nở hoa rực rỡ.","Rèn luyện đức tính Kiên nhẫn (Kham nhẫn). Đừng nôn nóng khi chưa thấy kết quả. Thời gian chờ đợi chính là lúc để tu dưỡng nội lực. Tâm bất biến giữa dòng đời vạn biến."
47,"Quẻ Số 47 - Thượng Cát (Lương Vũ Đế xuất gia)","Cẩm thượng thiêm hoa sắc cánh tiên,\nVận lai lộc mã hỷ song toàn.\nThời nhân mạc bả vi nhàn sự,\nChỉ tảo vinh thân hiển tổ tiên.","Gấm lại thêm hoa sắc càng tươi,\nVận đến lộc mã hỷ song toàn.\nNgười đời chớ lấy làm việc rỗi,\nSớm được vinh thân rạng tổ tiên.","Đã tốt lại càng thêm tốt (như gấm thêu hoa). Vận may dồn dập, lộc mã song toàn. Làm chơi mà ăn thật, vinh thân phì gia, rạng danh tổ tông.","Khi đang ở đỉnh cao vinh quang (như Lương Vũ Đế), đừng đắm chìm trong dục lạc. Hãy hướng tâm về đạo pháp. Dùng phương tiện vật chất đủ đầy này để hộ trì Tam Bảo và làm lợi ích cho chúng sinh."
48,"Quẻ Số 48 - Trung Bình (Hàn Tín treo ấn)","Côn điểu thu lai hóa tác bằng,\nDu du tường duyệt cửu tiêu vân.\nNhâm quân tác sự giai như ý,\nĐiểu tước quy sào vạn vật xuân.","Chim Côn thu đến hóa chim Bằng,\nThong thả lượn bay chín tầng mây.\nMặc bạn làm việc đều như ý,\nChim sẻ về tổ vạn vật xuân.","Cá Côn hóa chim Bằng, đây là điềm báo sự chuyển đổi lớn về chất. Từ vị trí thấp bé vươn lên tầm cao mới, tự do tự tại. Tuy nhiên sự thay đổi này cần thời gian (đợi mùa thu).","Sự chuyển hóa (Metamorphosis) đòi hỏi sự nỗ lực nội tại khủng khiếp. Muốn hóa chim Bằng bay xa, phải chấp nhận lột xác đau đớn. Hãy dũng cảm thay đổi bản thân, bỏ đi những thói quen xấu để vươn tới tầm cao trí tuệ."
49,"Quẻ Số 49 - Trung Bình (Vương Tường cầu lý)","Doanh hư tiêu tức tổng thiên thời,\nTự thử hậu lai kiến cát xương.\nNhược vấn mưu doanh hiện tại sự,\nBần cùng khước dĩ biến vinh hoa.","Đầy vơi tin tức thảy do trời,\nTừ nay về sau thấy cát tường.\nNếu hỏi mưu cầu việc hiện tại,\nBần cùng rồi sẽ biến vinh hoa.","Sông có khúc người có lúc, quy luật thịnh suy là lẽ thường. Sau cơn bĩ cực tới hồi thái lai. Hiện tại có thể khó khăn (bần cùng) nhưng tương lai chắc chắn sẽ vinh hoa phú quý nếu giữ trọn đạo hiếu (như Vương Tường nằm băng cầu cá chép).","Tin sâu vào Nhân Quả. Hoàn cảnh khó khăn hiện tại là quả của nghiệp quá khứ, nhưng thái độ hiện tại sẽ quyết định tương lai. Giữ tâm lạc quan, hiếu thuận và thiện lương, nghiệp xấu sẽ dần tiêu tan."
50,"Quẻ Số 50 - Thượng Cát (Đào Chu Công kinh doanh)","Ngũ hồ tứ hải nhậm ngao du,\nĐắc ý quy phàm đái hảo thu.\nThương đạo cầu tài giai toại ý,\nNhất ngưu song vĩ đốc canh sừ.","Năm hồ bốn biển mặc ngao du,\nĐắc ý thuyền về chở mùa thu (tốt lành).\nBuôn bán cầu tài đều toại ý,\nMột trâu hai đuôi đốc canh bừa.","Quẻ rất tốt cho việc kinh doanh, buôn bán đi xa (như Đào Chu Công - Phạm Lãi). Lợi lộc dồi dào, thuyền về đầy ắp hàng. Làm việc gì cũng thuận lợi, một vốn bốn lời.","Trong kinh doanh, hãy giữ chữ Tín và đạo đức (Bát chánh đạo trong sinh kế). Đừng vì lợi nhuận mà gian dối. Khi thành công về tài chính, hãy thực hành hạnh Bố thí để tài sản được bảo vệ và mang lại hạnh phúc thực sự."
51,"Quẻ Số 51 - Thượng Cát (Khổng Minh nhập Xuyên)","Hạ nhật viêm thiên nhật tối trường,\nNhân nhân sầu nhiệt muộn phi thường.\nThiên địa dã giải tri nhân ý,\nHuân phong phất phất tự nhiên lương.","Ngày hè nắng lửa ngày rất dài,\nNgười người sầu nóng bực không nguôi.\nTrời đất cũng biết lòng người ý,\nGió nồm phe phẩy tự nhiên vui.","Như giữa trưa hè nóng bức gặp cơn gió mát, mọi sự bức bối, khó khăn sẽ được giải tỏa. Khổng Minh vào đất Thục gặp thời. Thời vận hanh thông, bệnh tật tiêu tan, mưu sự thuận lợi.","Sự mát mẻ đến từ tâm (Tâm tĩnh tự nhiên lương). Giữa hoàn cảnh khắc nghiệt, hãy giữ tâm bình thản, đừng than vãn. Khi tâm an định, trí tuệ sẽ phát sinh để nắm bắt thời cơ tốt đẹp đang tới."
52,"Quẻ Số 52 - Hạ Hạ (Thái Bạch lao nguyệt)","Thủy trung tróc nguyệt uổng lao tâm,\nThùy điếu ngư hà hối hậu thâm.\nBất tất cầu danh hưu sính lợi,\nQuy gia an phận hảo tu âm (đức).","Trong nước bắt trăng uổng nhọc lòng,\nThả câu tôm cá hối hận xăm.\nChẳng cần cầu danh thôi kiếm lợi,\nVề nhà an phận khéo tu âm.","Chạy theo ảo vọng như Lý Thái Bạch say rượu nhảy xuống nước bắt trăng. Mọi nỗ lực chỉ là công dã tràng. Cầu danh lợi thất bại, nên đề phòng hao tài tốn của vì những chuyện không đâu.","Tỉnh thức trước những cám dỗ phù du (ảo ảnh). Đừng để tham vọng che mờ lý trí mà đuổi hình bắt bóng. Quay về nương tựa thực tại, sống chắt chiu, giản dị và tích âm đức để chờ vận khác."
53,"Quẻ Số 53 - Thượng Thượng (Lưu Bị chiêu thân)","Thất ý phiên thành đắc ý thì,\nLong ngâm hổ khiếu lưỡng tương nghi.\nThanh thiên cô nhạn cao tường vũ,\nNgô đồng nhất diệp lạc kim chi.","Thất ý hóa thành đắc ý thôi,\nRồng ngâm hổ gầm thảy tương nghi.\nTrời xanh nhạn lẻ bay cao vút,\nNgô đồng một lá rụng cành vàng.","Từ chỗ thất vọng chuyển thành hy vọng lớn (như Lưu Bị cầu thân được vợ hiền, giang sơn vững). Rồng hổ gặp nhau, sức mạnh tăng gấp bội. Đơn độc sẽ tìm được tri kỷ, sự nghiệp thăng hoa tột đỉnh.","Chuyển họa thành phúc nhờ 'Tùy duyên'. Trong nghịch cảnh không nản lòng, biết đâu đó là cơ hội để gặp mối duyên lành lớn hơn. Hãy mở rộng lòng mình đón nhận sự hợp tác, đừng đơn độc chiến đấu."
54,"Quẻ Số 54 - Hạ Hạ (Mã Siêu truy Tào)","Mộng trung đắc bảo tỉnh lai vô,\nTự vị nam kha nhất sự hư.\nMạc cầu công danh hưu sính lợi,\nKhuyến quân thả thủ cựu quy mô.","Trong mộng được vàng tỉnh lại không,\nNgỡ là giấc mộng việc hư không.\nChớ cầu công danh thôi kiếm lợi,\nKhuyên bạn hãy giữ quy mô cũ.","Như giấc mộng Nam Kha, trong mơ thấy vàng bạc châu báu, tỉnh dậy tay trắng. Công danh lợi lộc chỉ là hư ảo, càng tham càng thâm. Nên an phận thủ thường, đừng mở rộng kinh doanh hay đầu tư lúc này.","Quán chiếu tính 'Vô thường' của vạn vật. Tiền tài, danh vọng như sương mai đầu ngọn cỏ. Đừng quá dính mắc vào vật chất để rồi đau khổ khi mất đi. Tìm niềm vui trong sự an lạc nội tâm bền vững hơn."
55,"Quẻ Số 55 - Thượng Cát (Chu Võ Vương đăng vị)","Phụ tử tương huy hảo trù mưu,\nCương nhu tương tế cộng tương cầu.\nNhất triêu thiên hỷ nhân tình thái,\nCử chỉ thanh vân chí thượng đầu.","Cha con cùng sáng khéo trù mưu,\nCương nhu giúp đỡ cùng nhau cầu.\nMột sớm trời vui tình người đẹp,\nBước lên mây xanh đến đỉnh cao.","Sự đoàn kết (cha con, vợ chồng, đồng đội) mang lại thành công lớn. Có sự phối hợp nhịp nhàng giữa cương và nhu. Mọi người đồng lòng thì việc gì cũng thành, đạt đến đỉnh cao danh vọng.","Sức mạnh của Tăng đoàn (cộng đồng) là vô giá. Hãy dẹp bỏ cái tôi cá nhân để hòa nhập vào tập thể. Biết lắng nghe, chia sẻ và hỗ trợ nhau (Lục hòa). Thành công của tập thể chính là thành công của mình."
56,"Quẻ Số 56 - Trung Bình (Phạm Thiếu Bá phiếm châu)","Giản thượng doanh doanh thủy diện thanh,\nNhất chi nghiêng trắc khán nan hành.\nĐạo nhân mạc vấn hành tàng sự,\nLưỡng ngạn phong thanh bạn lữ hành.","Trên khe dầy dật nước trong xanh,\nMột chiếc nghiêng nghiêng thấy khó hành.\nĐạo nhân chớ hỏi việc đi ở,\nHai bờ gió mát bạn lữ hành.","Thuyền đi trên dòng nước trong, tuy có chút chòng chành (nghiêng trắc) nhưng vẫn tiến tới được. Cảnh sắc an nhàn, thích hợp cho việc du ngoạn, nghỉ ngơi hơn là tranh đấu quyết liệt.","Học cách 'Sống chậm' và thưởng thức hành trình thay vì chỉ chăm chăm vào đích đến. Giữ tâm thong dong tự tại trước những gập ghềnh nhỏ của cuộc sống. Sự bình an là người bạn đồng hành tốt nhất."
57,"Quẻ Số 57 - Trung Bình (Ninh Thích uyển ngưu)","Văn thuyết quân gia hỷ khí sinh,\nVọng cầu chi sự tất hanh thông.\nBách ban như ý gia phong thịnh,\nLục súc bình an vạn sự hưng.","Nghe nói nhà anh hỷ khí sinh,\nViệc mong cầu ấy ắt hanh thông.\nTrăm đường như ý gia phong thịnh,\nLục súc bình an vạn sự hưng.","Tin vui đang đến cửa, gia đạo hưng thịnh, chăn nuôi (lục súc) phát đạt. Những khó khăn vất vả trước đây (như Ninh Thích chăn trâu gõ sừng hát) nay được đền đáp xứng đáng.","Phước đức sinh ra từ sự cần cù và thái độ lạc quan trong lao động. Dù làm việc thấp hèn cũng đừng tự ti, hãy làm với tất cả tâm huyết (Chánh mệnh). Trời cao không phụ người có lòng."
58,"Quẻ Số 58 - Trung Bình (Tô Tần thuyết Triệu Vương)","Trung ngôn trực gián há năng thính,\nThả đãi thời lai dữ tiện nghi.\nKiến cơ giải tản lâm thời sự,\nVô sự vô phi tâm hạ ninh.","Lời ngay can thẳng há hay nghe,\nHãy đợi thời lai mới tiện nghi.\nThấy cơ giải tán việc lâm thời,\nKhông sự không phi lòng yên ổn.","Nói lời thật mất lòng, khuyên can không ai nghe. Lúc này chưa phải lúc để thuyết phục người khác. Nên tạm thời rút lui, tránh tranh cãi thị phi để giữ lòng thanh thản, chờ cơ hội khác.","Thực hành 'Ái ngữ' và 'Đúng thời'. Lời nói dù đúng nhưng không đúng lúc, đúng đối tượng thì cũng vô ích, thậm chí gây họa. Hãy biết im lặng đúng lúc (Tịnh khẩu) để tránh khẩu nghiệp."
59,"Quẻ Số 59 - Trung Bình (Trương Lương ẩn sơn)","Trực thượng trùng lâu khứ tàng thân,\nTứ vi kinh cức nhiễu nhân thân.\nThiên cao nhật nguyệt minh như kính,\nBất kiến hà gian trọc thủy thanh.","Lên thẳng lầu cao để ẩn thân,\nBốn bề gai góc quấn quanh thân.\nTrời cao nhật nguyệt sáng như gương,\nChẳng thấy giữa dòng nước đục trong.","Hoàn cảnh xung quanh đầy rẫy nguy hiểm (gai góc), tiểu nhân vây quanh. Cách tốt nhất là ẩn mình nơi lầu cao (quy ẩn, tránh xa rắc rối). Giữ tâm sáng như gương soi, đừng hòa mình vào dòng nước đục.","Giữ giới luật nghiêm minh để bảo vệ mình khỏi những cám dỗ và nguy hiểm. Khi môi trường xung quanh ô trược, hãy tìm về nơi thanh tịnh hoặc tự tạo một 'hải đảo' bình yên trong tâm hồn mình."
60,"Quẻ Số 60 - Hạ Hạ (Xích Tùng Tử học đạo)","Bảo hạp tàng hương dĩ kiến tiêu,\nGia nhân thất thoát bất tương nhiêu.\nCanh phòng đạo tặc lai xâm nhiễu,\nMạc tín bàng nhân lưỡng thiệt đao.","Hộp báu cất hương lửa đã thiêu,\nNgười nhà thất thoát chẳng dung tha.\nLại phòng trộm cướp đến xâm nhiễu,\nChớ tin người ngoài lưỡi dao hai.","Mất mát tài sản, lửa cháy, trộm cướp rình rập. Gia đạo bất an, người trong nhà lục đục, người ngoài gièm pha (lưỡi dao hai). Quẻ rất xấu, cần đề phòng cẩn mật về củi lửa và kẻ gian.","Đây là lúc nghiệp xấu trổ quả mạnh. Cần hết sức thận trọng (Chánh niệm tỉnh giác) trong việc giữ gìn tài sản và lời nói. Năng tụng kinh Tiêu Tai Cát Tường và làm từ thiện để hóa giải bớt vận hạn."
61,"Quẻ Số 61 - Trung Bình (Tô Tiểu Muội nan phu)","Ký ngâm thi cú nguyệt tiền hoa,\nPhi tử thùy gia nhất kiều nga.\nTự thị tư lương vô hạn sự,\nKhước lai trướng lý lộng tỳ bà.","Gửi ngâm câu thơ trước trăng hoa,\nChẳng phải nhà ai một ả nga.\nTự thấy đắn đo vô hạn sự,\nTrở về trong trướng gảy tỳ bà.","Hai bên đối đáp thơ ca tình tứ nhưng trong lòng còn nhiều đắn đo, suy tính. Duyên phận có vẻ hợp nhưng lại khó thành, giống như Tô Tiểu Muội kén chồng. Nên quay về an phận, gảy đàn trong trướng đợi thời.","Trong tình cảm và các mối quan hệ, đừng quá kén cá chọn canh hay suy tính thiệt hơn. Hãy lắng nghe tiếng lòng mình (gảy tỳ bà). Sự chân thành quan trọng hơn là sự đối đáp khéo léo bên ngoài."
62,"Quẻ Số 62 - Thượng Cát (Đường Tăng đắc đạo)","Thần hựu kỳ nhương đảo đỉnh thiên,\nĐương kim đắc ngộ thái bình niên.\nĐường Tăng đắc đạo tây thiên khứ,\nQuý báu vinh hoa phúc thọ toàn.","Thần giúp cầu cúng lễ tế trời,\nĐương nay gặp được năm thái bình.\nĐường Tăng đắc đạo về Tây trúc,\nQuý báu vinh hoa phúc thọ toàn.","Cầu được ước thấy, có thần linh bảo hộ. Sau bao gian nan thử thách (như Đường Tăng đi thỉnh kinh), nay đã đến ngày đắc đạo, thành công viên mãn. Phúc thọ song toàn, vạn sự như ý.","Thành quả vĩ đại đến từ sự kiên trì không mệt mỏi và niềm tin sắt đá (Tín - Tấn). Khi đạt được thành công, hãy hồi hướng công đức cho pháp giới chúng sinh. Giữ tâm khiêm hạ của người tu đạo."
63,"Quẻ Số 63 - Trung Bình (Nữ Oa vá trời)","Tích nhật hành thuyền thất bả trạo,\nKim triêu hựu ngộ Than đầu phong.\nĐê đầu chỉ hữu cô ha sách,\nĐá phá trung lưu giá tích bồng.","Ngày xưa đi thuyền mất mái chèo,\nSáng nay lại gặp gió đầu ghềnh.\nCúi đầu chỉ biết kêu trời đất,\nĐá phá giữa dòng hỏng cánh buồm.","Đã mất chèo lại gặp gió ngược, khó khăn chồng chất. Thuyền hư hỏng giữa dòng. Tình thế nguy nan, tốn nhiều công sức để sửa chữa, hàn gắn (như Nữ Oa đội đá vá trời).","Khi gặp hoạn nạn dồn dập, đừng hoảng loạn kêu than. Hãy chấp nhận thực tại và bắt tay vào 'vá' lại những lỗ hổng của cuộc đời mình (sai lầm cũ). Sự nỗ lực khắc phục hậu quả lúc này là hành động thiết thực nhất."
