STT,Tên Quẻ,Thơ (Hán Việt/Nôm),Dịch Nghĩa,Lời Bàn (Commentary),Lời Khuyên (Advice)
32,"Quẻ Số 32 - Hạ Hạ (Viên Thuật xưng Đế)","Nhị hổ tranh vanh thế bất tường,\nNan tương dị tính hợp đồng hương.\nPhòng phòng bất trắc phong ba quyển,\nLưỡng cước mang mang đạp thượng sương.","Hai hổ tranh hùng thế chẳng tường,\nKhó đem khác họ hợp đồng hương.\nPhòng khi bất trắc phong ba cuốn,\nHai chân vội vã đạp lên sương.","Hai con hổ tranh nhau, thế cục hung hiểm, không ai nhường ai (như Viên Thuật xưng đế bị chư hầu đánh). Hợp tác làm ăn với người khác họ dễ sinh bất đồng. Đề phòng sóng gió bất ngờ, bôn ba vất vả (đạp sương).","Tránh xa các cuộc tranh chấp quyền lực. Không nên hùn hạp làm ăn lúc này vì dễ xảy ra mâu thuẫn nội bộ dẫn đến tan rã. Giữ mình khiêm tốn, đừng ngạo mạn xưng hùng xưng bá mà rước họa."
33,"Quẻ Số 33 - Trung Bình (Trang Tử gõ bồn)","Dịch mã đơn thân mộng lý sầu,\nBất phùng tri kỷ hận du du.\nĐông lân hữu tửu vô nhân chước,\nTây xá vô hoa mãn thụ thu.","Ngựa trạm lẻ loi mộng cũng sầu,\nChẳng gặp tri kỷ hận dằng dặc.\nNhà đông có rượu không người rót,\nNhà tây không hoa rợp bóng thu.","Cô đơn lẻ loi như ngựa trạm chạy một mình. Trong mộng cũng thấy buồn vì không gặp tri kỷ (như Trang Tử gõ bồn hát khi vợ mất). Rượu ngon không bạn hiền, cảnh sắc tiêu điều buồn bã.","Quẻ chủ về sự cô độc và chia ly. Tâm trạng u uất dễ dẫn đến bi quan. Nên tìm niềm vui trong sách vở hoặc nghệ thuật thay vì mong cầu sự thấu hiểu từ người khác. Chấp nhận sự vô thường của tình cảm."
34,"Quẻ Số 34 - Trung Bình (Tôn Tẫn thọ túc)","Bệnh long đắc vũ thượng thiên trì,\nCánh nhập yên hà cách thế vi.\nKhước hối mang mang đa thất cước,\nQuyền tương chỉ thủ độc hiềm trì.","Rồng bệnh được mưa lên thiên trì,\nLại vào khói ráng cách đời đi.\nLại hối mênh mang đà trượt bước,\nTạm đem ngón tay một mình e.","Rồng bị bệnh gặp mưa rào, tuy có cơ hội bay lên trời nhưng sức còn yếu. Như Tôn Tẫn bị chặt chân, dù có tài cũng gặp hạn chế. Hối hận vì những bước đi sai lầm trước kia, nay phải tạm ẩn nhẫn.","Dù cơ hội có đến (rồng gặp mưa) nhưng cần lượng sức mình (rồng bệnh). Đừng ham hố tiến quá nhanh khi nội lực chưa phục hồi. Chấp nhận khiếm khuyết của bản thân và đi chậm mà chắc."
35,"Quẻ Số 35 - Hạ Hạ (Chiêu Quân hòa thân)","Nhất trản cô đăng chiếu bích vân,\nHàm oan hàm hận hướng thùy luân.\nTri âm nhược ngộ thành liên lý,\nUổng phí tinh thần tác tị trần.","Một ngọn đèn côi chiếu mây xanh,\nNgậm oan ngậm hận kể ai hay.\nTri âm nếu gặp thành liền lý,\nUổng phí tinh thần lánh bụi trần.","Như ngọn đèn lẻ loi trước gió, Vương Chiêu Quân đi cống Hồ ngậm oan hờn không biết tỏ cùng ai. Mong gặp tri âm để kết tóc se tơ nhưng số phận đưa đẩy phải ly hương, uổng phí tuổi xuân.","Hoàn cảnh bắt buộc phải hy sinh hạnh phúc cá nhân vì đại cuộc. Nỗi oan ức khó giãi bày. Lúc này nên nhẫn nhục chịu đựng, đừng cố chống lại số mệnh. Tìm sự bình an trong tâm linh."
36,"Quẻ Số 36 - Thượng Cát (La Ẩn cầu quan)","Công danh phú quý tự năng vi,\nNgẫu ngộ tiên nhân chỉ nhất ky.\nGiải mã quy lai thành cựu nghiệp,\nTiêu dao tự tại thối cơ quan.","Công danh phú quý tự mình làm,\nTình cờ tiên khách mách cơ hay.\nCởi ngựa quay về gìn nghiệp cũ,\nTiêu dao tự tại lánh cơ quan.","Có khả năng tự tạo dựng công danh phú quý. Được người tài (tiên nhân) chỉ điểm. Nên cởi giáp quy điền, quay về giữ nghiệp cũ thì được tiêu dao tự tại, tránh xa chốn quan trường hiểm ác (như La Ẩn).","Biết đủ là hạnh phúc. Khi đã đạt được thành tựu nhất định, nên biết rút lui đúng lúc để bảo toàn danh tiết và hưởng thụ cuộc sống an nhàn. Đừng tham quyền cố vị mà chuốc lấy phiền não."
37,"Quẻ Số 37 - Trung Bình (Lý Tịnh quy sơn)","Dục vinh quy khứ vị vinh quy,\nTam điểm đài tiền hạc ảnh đê.\nNhược ngộ tử kiên tịnh tí lực,\nNhất phàm phong tống hướng đông khê.","Muốn vinh quy nọ chửa vinh quy,\nBa điểm trước đài bóng hạc che.\nNếu gặp vai hồng cùng sức giúp,\nMột buồm gió đẩy hướng đông khê.","Lòng muốn vinh quy bái tổ nhưng thời chưa tới. Bóng hạc còn bay thấp (chưa thăng tiến cao). Phải đợi người trợ lực (tử kiên - vai đỏ, ý nói quý nhân hoặc con cháu) thì mới thuận buồm xuôi gió.","Dục tốc bất đạt. Mong muốn nghỉ ngơi hoặc thành công sớm chưa thực hiện được. Cần thêm sự hỗ trợ từ người trẻ tuổi hoặc cấp dưới. Hãy kiên nhẫn bồi dưỡng thế hệ sau để họ gánh vác thay mình."
38,"Quẻ Số 38 - Hạ Hạ (Mạnh Khương Nữ khóc trường thành)","Điểu mê tùng lâm bất kiến sào,\nQuyện phi dực đoản thối hoàn sào.\nPhiên thân khước ngộ la võng tráo,\nĐộc hận linh đinh hướng thùy khiếu.","Chim lạc rừng tùng chẳng thấy sào,\nMỏi bay cánh ngắn phải lùi vào.\nXoay mình lại gặp lưới vây bủa,\nRiêng hận linh đinh kêu với ai.","Chim lạc lối trong rừng, mỏi cánh muốn về tổ cũng không được. Quay đầu lại thì gặp lưới bủa vây (như Mạnh Khương Nữ đi tìm chồng rồi khóc chết). Cảnh ngộ tiến thoái lưỡng nan, cô độc, tuyệt vọng.","Giai đoạn cực kỳ khó khăn, tứ bề thọ địch. Không nên đi xa, không nên khởi sự mới. Hãy ở yên một chỗ, giữ gìn sức khỏe và chờ qua vận hạn. Cẩn thận kẻ xấu giăng bẫy lừa gạt."
39,"Quẻ Số 39 - Hạ Hạ (Tào Tháo ngộ Tưởng Cán)","Bắc sơn nam khứ việt nam pha,\nLộ thảo thanh thanh ẩn phục đa.\nCấp ý hồi trình mạc tiến vãng,\nNhiễu hiền thối bộ đắc an hòa.","Núi bắc đi nam vượt dốc nam,\nCỏ đường xanh ngắt ẩn phục nhiều.\nVội vã quay về đừng tiến tới,\nNhường hiền lùi bước được an hòa.","Đi ngược từ Bắc xuống Nam, đường đi đầy cỏ rậm có mai phục (như Tào Tháo bị Tưởng Cán lừa, bị phục kích). Nguy hiểm rình rập. Khuyên nên quay đầu ngay lập tức, đừng dấn thân thêm nữa. Nhường nhịn thì mới an toàn.","Cảnh báo nguy cơ bị lừa dối hoặc sa bẫy địch. Kế hoạch hiện tại có lỗ hổng chết người. Hãy dừng lại, kiểm tra kỹ lưỡng tin tức. 'Lùi một bước trời cao biển rộng', đừng cố chấp tiến tới chỗ chết."
40,"Quẻ Số 40 - Thượng Cát (Hán Quang Vũ hưng nghiệp)","Hồng sắc phiên thiên cập đế đô,\nThiên binh thần tướng hộ đế đô.\nHỏa kê ngộ thử phương thành lập,\nNhất cử thành danh thiên hạ hô.","Sắc đỏ rợp trời đến đế đô,\nThiên binh thần tướng hộ cơ đồ.\nGà lửa gặp chuột mới thành lập,\nMột cử thành danh thiên hạ hô.","Vận khí đỏ rực như lửa chiếu sáng kinh đô. Có thần tướng bảo hộ (như Hán Quang Vũ phục hưng nhà Hán). Gặp năm/tháng Đinh Dậu (Hỏa kê) hoặc Tý (chuột) thì đại công cáo thành, thiên hạ tung hô.","Thời vận đại hưng thịnh. Đây là lúc thực hiện những hoài bão lớn nhất. Có sự trợ giúp của cả thiên thời (sắc đỏ) và nhân hòa (thần tướng). Mạnh dạn tiến lên, vinh quang đang chờ đón."
41,"Quẻ Số 41 - Thượng Cát (Lưu Bị chiêu thân)","Tự nam tự bắc tự đông tây,\nDục đáo thiên nhai thùy tác thê.\nNgẫu nhiên nhất nhật ngộ lương môi,\nKhuê môn hữu hỷ sự phệ tế.","Từ nam từ bắc tự đông tây,\nMuốn đến chân trời ai làm thê.\nNgẫu nhiên một ngày gặp mối tốt,\nCửa buồng có hỷ việc đề huề.","Đi khắp đông tây nam bắc tìm kiếm ý trung nhân. Bất ngờ một ngày gặp được bà mối tốt (như Lưu Bị sang Đông Ngô cầu thân được Tôn Phu Nhân). Cửa nhà có tin vui, hôn nhân đại cát, sum họp đề huề.","Duyên phận đến bất ngờ không thể cưỡng cầu. Khi cơ hội đến (ngẫu nhiên), hãy nắm bắt ngay. Quẻ này rất tốt cho việc hôn nhân và hợp tác. Sự chân thành sẽ cảm hóa được đối phương."
42,"Quẻ Số 42 - Thượng Cát (Đổng Vĩnh bán mình)","Nguyệt minh tán bộ thượng lan can,\nĐối diện mông lung nhãn giới khoan.\nNhược yếu tiền đồ cầu thắng lợi,\nTu tương viên khuyết khán đoàn viên.","Trăng sáng dạo chơi trên lan can,\nĐối diện mông lung tầm mắt khoan.\nNếu muốn tiền đồ cầu thắng lợi,\nNên đem tròn khuyết xem đoàn viên.","Dạo bước dưới trăng, tầm mắt rộng mở nhưng còn chút mông lung. Muốn thành công phải hiểu quy luật tròn khuyết của trăng (lúc thịnh lúc suy). Đổng Vĩnh vì hiếu bán mình chôn cha, cảm động trời xanh, được Tiên nữ xuống trần kết duyên.","Đề cao chữ 'Hiếu'. Lòng hiếu thảo có thể thay đổi vận mệnh, biến họa thành phúc. Trong kinh doanh hay cuộc sống, cần chấp nhận có lúc thăng lúc trầm (tròn khuyết) thì mới đạt được kết quả viên mãn cuối cùng."
43,"Quẻ Số 43 - Thượng Cát (Huyền Đức qua sông)","Nhất chỉ hồng lân xuất thủy đầu,\nMẫn nhiên bát trạo hạ lâm lưu.\nNgẫu nhiên đắc ngộ nhân tương trợ,\nĐại sự toàn năng nhất bút câu.","Một con cá đỏ nhô đầu nước,\nNhanh nhẹn chèo thuyền xuống dòng sâu.\nTình cờ gặp được người tương trợ,\nĐại sự đều hay một nét thâu.","Như cá rồng đỏ nhô đầu khỏi nước. Lưu Bị cưỡi ngựa Đích Lư vượt suối Đàn Khê thoát nạn. Tình cờ gặp được quý nhân (như Tư Mã Huy) chỉ điểm. Mọi tai ương, rắc rối lớn đều được xóa sạch (nhất bút câu).","Gặp hung hóa cát. Trong lúc nguy cấp nhất sẽ có lối thoát thần kỳ. Đừng bao giờ bỏ cuộc. Hãy tin vào trực giác và sự dũng cảm của bản thân (nhanh nhẹn chèo thuyền). Quý nhân đang ở rất gần."
44,"Quẻ Số 44 - Trung Bình (Vương Mãng soán vị)","Khuyển phệ hoa tàn xuân sắc không,\nHành nhân tiếu chỉ mộ sơn mông.\nNgôn ngữ đa đoan bất khả tín,\nHung hung trừng trừng nhập mộng trung.","Chó sủa hoa tàn xuân sắc không,\nNgười đi cười chỉ núi chiều mông.\nNgôn ngữ đa đoan không thể tín,\nHung hăng trừng mắt nhập mộng trung.","Điềm báo không lành: chó sủa, hoa tàn, xuân sắc hết. Cảnh chiều tà mờ mịt. Lời nói của người đời (như Vương Mãng) lắt léo, đa đoan, không thể tin được. Giấc mộng thấy sự hung dữ, lo âu.","Cảnh giác cao độ với sự giả dối và phản bội. Đừng tin vào những lời hứa hẹn hoa mỹ lúc này. Thời vận đang đi xuống (chiều tà), nên thu mình lại, phòng thủ hơn là tấn công. Tránh tranh chấp quyền lực."
45,"Quẻ Số 45 - Thượng Cát (Cao Tổ chém rắn)","Hưu từ tân khổ vãng bôn ba,\nTác sự doanh mưu trợ lực đa.\nKiếm trảm bạch xà đương đạo ngọa,\nTráng thanh hào khí hát phong ba.","Chớ từ cay đắng với bôn ba,\nLàm việc mưu toan trợ lực đa.\nKiếm chém rắn trắng nằm cản lối,\nTiếng tráng hào khí hát phong ba.","Đừng ngại gian khổ bôn ba. Khi mưu sự lớn sẽ có nhiều người giúp sức. Như Hán Cao Tổ chém rắn trắng mở đường khởi nghĩa. Khí phách hào hùng át cả sóng gió, làm nên nghiệp đế vương.","Muốn làm việc lớn phải có dũng khí (dám chém rắn cản đường). Khó khăn chỉ là thử thách bản lĩnh người lãnh đạo. Hãy dấn thân, hành động quyết liệt, quý nhân và đồng đội sẽ tập hợp xung quanh bạn."
46,"Quẻ Số 46 - Thượng Cát (Triệu Khuông Dẫn thoát nạn)","Lôi đình phích lịch chấn thiên quan,\nCuồng phong sậu vũ ám giang sơn.\nƯu sầu vạn chủng giai tiêu tán,\nHỉ khí trùng trùng triển tiếu nhan.","Sấm sét ầm ầm động thiên quan,\nGió điên mưa dữ tối giang san.\nƯu sầu muôn mối đều tiêu tán,\nVui vẻ trùng trùng nở cười vang.","Ban đầu sấm chớp, mưa gió bão bùng tưởng chừng nguy khốn (như Triệu Khuông Dẫn gặp nạn). Nhưng sau cơn mưa trời lại sáng, mọi ưu sầu tan biến hết, niềm vui ập đến tới tấp, mặt mày rạng rỡ.","Tiền hung hậu cát. Đừng sợ hãi trước biến cố lớn. Đó là dấu hiệu của sự thay đổi triệt để (sấm sét dọn đường). Sau biến động này, cục diện sẽ hoàn toàn mới và tốt đẹp hơn rất nhiều. Kiên nhẫn chờ đợi quang minh."
47,"Quẻ Số 47 - Trung Bình (Lỗ Túc thảo sách)","Phụng hoàng phi xuất lâm gian khứ,\nChân long tị hải hốt ninh cư.\nThả đãi thu phong kim khí thịnh,\nTường quang thụy khí mãn môn lư.","Phượng hoàng bay khỏi rừng đi mất,\nRồng thật ẩn biển chợt an cư.\nHãy đợi gió thu kim khí thịnh,\nSáng lành khí tốt mãn môn lư.","Phượng hoàng bay đi, rồng ẩn mình dưới biển. Lúc này chưa phải lúc xuất đầu lộ diện. Hãy kiên nhẫn đợi đến mùa thu (gió thu, kim khí thịnh) thì vận may mới tới, khí tốt đầy nhà.","Học cách 'Ẩn nhẫn chờ thời'. Khi thời cơ chưa chín, tài năng (rồng, phượng) cũng cần phải giấu kín để bảo toàn lực lượng. Đừng nóng vội thể hiện. Mùa thu là thời điểm vàng để hành động."
48,"Quẻ Số 48 - Thượng Cát (Ban Siêu định Viễn)","Nhất điểu tương phi nhập sở thành,\nDục cầu công danh khước vi tình.\nĐông nam hảo bả cần lao tích,\nTự thị kinh doanh lạc thái bình.","Một chim bay liệng nhập Sở thành,\nMuốn cầu công danh lại vì tình.\nĐông nam hãy đem cần lao tích,\nẤy là kinh doanh lạc thái bình.","Chim bay vào thành, cơ hội đến. Muốn cầu công danh nhưng còn vướng bận tình cảm. Nên đi về hướng Đông Nam, chăm chỉ làm ăn tích lũy thì sự nghiệp kinh doanh sẽ thịnh vượng, thái bình (như Ban Siêu lập công nơi đất khách).","Sự nghiệp ở phương xa (Đông Nam) rất tốt. Cần dứt khoát giữa tình cảm và công việc. Đừng để chuyện riêng tư cản trở đường công danh. Sự cần cù nơi đất khách sẽ mang lại vinh quang."
49,"Quẻ Số 49 - Hạ Hạ (Tiêu Hà truy Hàn Tín)","Băng tiêu hiệp khứ thủy vo sầu,\nHoa lạc tàn chi thủy đắc thu.\nNhược ngộ tri âm lai tiếp dẫn,\nBất tu khổ khổ cưỡng doanh cầu.","Băng tan trôi đi nước không sầu,\nHoa rụng cành tàn mới được thu.\nNếu gặp tri âm ra tiếp dẫn,\nChẳng cần khổ khổ gượng mong cầu.","Băng tan, hoa rụng, cảnh tượng tiêu điều, trôi nổi. Việc mưu cầu gặp nhiều trắc trở, đừng cố gượng ép vô ích. Phải đợi gặp được người tri âm (như Tiêu Hà đuổi theo Hàn Tín) đề bạt thì mới thành công.","Tự lực lúc này rất khó khăn. Cần tìm người đỡ đầu, người hiểu mình để nương tựa. Nếu chưa gặp được minh chủ thì chớ nên vọng động. Chấp nhận buông bỏ những cái cũ (hoa tàn) để đón nhận cái mới."
50,"Quẻ Số 50 - Thượng Cát (Tô Định Phương bình Tây)","Nhất tiễn xạ hồng tâm,\nNhân nhân thuyết hảo âm.\nNhật trường kê xướng ngọ,\nChân hỏa luyện chân kim.","Một mũi tên bắn trúng hồng tâm,\nNgười người đều nói tin tốt lành.\nNgày dài gà gáy giờ Ngọ trưa,\nLửa thật luyện nên vàng thật.","Mũi tên bắn trúng đích (hồng tâm), bách phát bách trúng. Tin vui lan truyền khắp nơi. Như gà gáy giữa trưa, dương khí cực thịnh. Vàng thật không sợ lửa, càng luyện càng sáng. Công danh rạng rỡ.","Thành công đến từ năng lực thực sự và sự chính xác. Bạn đã được tôi luyện qua thử thách (lửa thật) và nay là lúc tỏa sáng. Uy tín và danh tiếng đạt đỉnh cao. Mọi việc đều đại cát."
51,"Quẻ Số 51 - Thượng Cát (Ngự Câu lưu hồng)","Quân kim bách sự thả tùy duyên,\nThủy đáo cừ thành thính tự nhiên.\nMạc thán niên lai bất như ý,\nHỷ phùng tân vận xứng tâm điền.","Nay bạn trăm sự hãy tùy duyên,\nNước chảy thành mương lẽ tự nhiên.\nChớ than năm cũ không như ý,\nMừng gặp vận mới thỏa lòng riêng.","Mọi việc hãy để thuận theo tự nhiên, đừng cưỡng cầu. Như nước chảy chỗ trũng tự thành mương. Chuyện tình duyên hay công việc (như lá thắm trôi trên ngự câu) sẽ tự tìm đến. Vận mới đang tới rất tốt.","Hãy buông lỏng tâm trí, 'Thuận theo tự nhiên' (Vô vi). Đừng quá lo lắng về những thất bại cũ. Duyên lành đang đến, chỉ cần bạn giữ tâm bình thản đón nhận thì mọi sự sẽ an bài đâu vào đấy."
52,"Quẻ Số 52 - Hạ Hạ (Đặng Ngải phá Thục)","Ngột ngột mịch mịch lộng tâm tình,\nƯu sầu tiêu tức bất nhẫn văn.\nCánh hữu nhất ban phòng tổn hại,\nChiết liễu chi đầu tước họa đề.","Ngây ngây dại dại rối tâm tình,\nTin tức ưu sầu chẳng nỡ nghe.\nLại có một phen phòng tổn hại,\nĐầu cành bẻ liễu sẻ kêu e.","Tâm trí rối bời, nghe toàn tin xấu (như Đặng Ngải vất vả phá Thục rồi cũng bị hại). Cẩn thận có kẻ tiểu nhân hãm hại hoặc mất mát tài sản, tình cảm chia lìa (bẻ liễu).","Đang ở trong thế nguy nan, tâm trí không sáng suốt. Tuyệt đối không được quyết định việc lớn lúc này. Nên 'Án binh bất động', giữ mình là chính. Phòng kẻ gian lừa gạt hoặc đâm sau lưng."
53,"Quẻ Số 53 - Thượng Cát (Lưu Bị chiêu thân)","Đường hổ tẩu nhập Tống sơn đồn,\nĐương đắc vinh hoa ngạo thế gian.\nChí khí ngang ngang nhân kính trọng,\nNhất sinh phú quý bảo bình an.","Hổ nhà Đường chạy vào non Tống,\nĐang được vinh hoa ngạo thế gian.\nChí khí ngang tàng người kính trọng,\nMột đời phú quý giữ bình an.","Hổ dữ vào núi, gặp được địa thế tốt để vẫy vùng. Lưu Bị sang Ngô chiêu thân, biến nguy thành an, được vợ hiền và củng cố thế lực. Chí khí cao ngạo khiến người đời nể phục, phú quý trọn đời.","Hãy dũng cảm dấn thân vào hang hùm để bắt cọp. Những nơi tưởng chừng nguy hiểm lại chứa đựng cơ hội lớn nhất cho bạn. Dùng bản lĩnh và sự tự tin để chinh phục thử thách, thành quả sẽ rất vinh quang."
54,"Quẻ Số 54 - Trung Bình (Tô Tần làm tướng)","Lữ hành vạn lý cầu quan chức,\nBôn tẩu đông tây sự vị hưu.\nNhược đắc quý nhân lai tiếp dẫn,\nLập thân vinh hiển độ xuân thu.","Lữ hành muôn dặm cầu quan chức,\nChạy ngược chạy xuôi việc chưa thôi.\nNếu được quý nhân ra tiếp dẫn,\nLập thân vinh hiển độ xuân thu.","Bôn ba lặn lội đường xa cầu công danh (như Tô Tần đi thuyết phục 6 nước). Vất vả ngược xuôi mà việc chưa xong. Phải đợi gặp đúng minh chủ (quý nhân) đề bạt thì mới vinh hiển được.","Sự nỗ lực cá nhân là chưa đủ, cần có kỹ năng 'Ngoại giao' và tìm được người đỡ đầu. Đừng nản lòng vì những chặng đường dài. Hãy kiên trì mài giũa tài ăn nói và mở rộng quan hệ."
55,"Quẻ Số 55 - Thượng Cát (Quách Tử Nghi chúc thọ)","Phụ tử tương phùng trường sự thành,\nHảo bả tâm điền vấn thượng thiên.\nĐương kim tích đức tồn nhân nghĩa,\nPhúc lộc vinh hoa vạn vạn niên.","Cha con gặp gỡ việc lớn thành,\nHãy đem lòng dạ hỏi trời xanh.\nNgày nay tích đức tồn nhân nghĩa,\nPhúc lộc vinh hoa vạn vạn niên.","Cha con đoàn tụ, gia đạo hưng vượng (như nhà Quách Tử Nghi con cháu đầy đàn, làm quan to). Việc lớn ắt thành. Chỉ cần giữ lòng nhân nghĩa, tích đức hành thiện thì phúc lộc hưởng vạn đời.","Gia hòa vạn sự hưng. Sự đoàn kết giữa các thế hệ trong gia đình là sức mạnh vô địch. Hãy chú trọng giáo dục con cái và làm việc thiện. Phước đức là tài sản lớn nhất để lại cho con cháu."
56,"Quẻ Số 56 - Trung Bình (Phạm Thiếu Bá du Ngũ Hồ)","Tâm đầu lý khúc vị tri tình,\nTự tác thông minh ngộ nhất sinh.\nBất tất cử đầu cầu thần phật,\nĐương tiền phạ nị hắc nham khinh.","Lòng nghĩ lý cong chưa biết tình,\nTự làm thông minh lỡ một sinh.\nChẳng cần ngẩng đầu cầu thần phật,\nTrước mắt sợ bùn vách đá khuynh.","Suy nghĩ quanh co, không ngay thẳng. Tự cho mình là thông minh nhưng lại làm hỏng cả đời (thông minh bị thông minh hại). Không cần cầu thần phật làm gì, nguy hiểm đang ở ngay trước mắt.","Đừng dùng mưu mẹo khôn lỏi để đối phó với đời. Sự chân thật mới là trí tuệ cao nhất. Hãy soi rọi lại tâm mình, bỏ đi những toan tính hẹp hòi. Cẩn thận kẻo 'gậy ông đập lưng ông'."
57,"Quẻ Số 57 - Trung Bình (Lạn Tương Như hoàn bích)","Sự đoan bách tạ mạc tường vi,\nDoanh đắc doanh mưu tự hữu thời.\nThả hỷ bích hoàn quy Triệu quốc,\nNhân nhân tán mỹ tiếu hi hi.","Trăm mối sự việc chớ làm bừa,\nĐược thua mưu tính tự có thời.\nMừng thay ngọc bích về nước Triệu,\nNgười người khen ngợi cười vui tươi.","Việc khó khăn, rắc rối trăm bề. Đừng làm bừa. Thắng thua đã có thời vận. Tuy gặp nguy hiểm nhưng nhờ trí tuệ và dũng khí (như Lạn Tương Như mang ngọc về Triệu) nên bảo toàn được danh dự và tài sản, được khen ngợi.","Dùng 'Trí' và 'Dũng' để giải quyết khủng hoảng. Khi rơi vào thế yếu, cần bình tĩnh ứng biến linh hoạt, cương nhu đúng lúc để bảo toàn lực lượng. Giữ chữ Tín (như giữ ngọc) là quan trọng nhất."
58,"Quẻ Số 58 - Thượng Cát (Tô Tần hoàn hương)","Tô Tần tam thốn túc bình sinh,\nPhú quý công danh tại thử hành.\nCánh hữu nhất ban đại hỷ sự,\nLộc vinh tài thịnh vạn nhân xưng.","Tô Tần ba tấc lưỡi bình sinh,\nPhú quý công danh tại chuyến hành.\nLại có một phen đại hỷ sự,\nLộc vinh tài thịnh vạn người xưng.","Nhờ ba tấc lưỡi mà lập nên công trạng (Tô Tần thuyết phục 6 nước phong tướng). Chuyến đi này đại cát, mang lại phú quý công danh. Có tin vui lớn, tài lộc dồi dào, vạn người ca tụng.","Phát huy tối đa kỹ năng giao tiếp, đàm phán. Lời nói khéo léo lúc này đáng giá ngàn vàng. Hãy mạnh dạn trình bày ý tưởng, thuyết phục đối tác. Thành công đến từ miệng mà ra."
59,"Quẻ Số 59 - Hạ Hạ (Đặng Thông tuyệt thực)","Môn suy hộ lãnh khổ linh đinh,\nTự hối bình sinh bất tín nhân.\nƯu sầu vạn chủng giai tiêu tán,\nNhất đán sinh lai toàn biến diệt.","Cửa suy nhà lạnh khổ linh đinh,\nTự hối bình sinh chẳng tin nhân.\nLo sầu muôn mối đều tiêu tán,\nMột sớm xảy ra thảy biến diệt.","Cảnh nhà sa sút, lạnh lẽo, cô độc (như Đặng Thông chết đói dù từng được ban núi tiền). Hối hận vì trước kia không tin vào nhân quả, sống kiêu ngạo. Tài sản tiêu tan, trắng tay.","Bài học đắt giá về sự vô thường của tiền bạc. Khi giàu có đừng kiêu ngạo, hoang phí. Phải biết tích đức, làm phước để phòng khi cơ lỡ. Nếu đang gặp vận hạn, hãy sám hối và chấp nhận trả nghiệp."
60,"Quẻ Số 60 - Hạ Hạ (Dương Tái Hưng bị vây)","Tiện như phi điểu nhập lao lung,\nDục xuất trường thiên bất tự do.\nTrắc trắc hàng hàng tâm sự đa,\nTiến thoái lưỡng nan ngộ tử sinh.","Tựa như chim bay nhập vào lồng,\nMuốn thoát trời cao chẳng tự do.\nBăn khoăn lo lắng tâm sự lắm,\nTiến thoái lưỡng nan gặp tử sinh.","Như chim đang bay tự do lại chui đầu vào lồng. Muốn thoát ra không được. Tâm trạng rối bời, tiến thoái lưỡng nan. Gặp cảnh ngộ sinh tử nguy hiểm (như Dương Tái Hưng chết đứng giữa trận tiền).","Rơi vào bẫy hoặc tình thế bế tắc không lối thoát. Càng vùng vẫy càng bị siết chặt. Hãy chấp nhận thực tế, giữ tâm bình tĩnh để tìm khe hở nhỏ nhất mà thoát thân. Hy sinh cái nhỏ để giữ cái lớn."
61,"Quẻ Số 61 - Thượng Cát (Quan Công phò nhị tẩu)","Nhật xuất đông phương hỷ khí tân,\nThiên nam địa bắc tịnh vô trần.\nQuan môn vĩnh dĩ vô hình phạt,\nNhân tại thái bình hỷ sướng tâm.","Mặt trời mọc đông khí mới tinh,\nTrời nam đất bắc sạch bụi trần.\nCửa quan mãi mãi không hình phạt,\nNgười tại thái bình vui sướng tâm.","Quẻ đại cát. Mặt trời mọc ở phương Đông xua tan bóng tối. Thiên hạ thái bình, không còn lo kiện tụng, hình phạt. Quan Công phò hai chị dâu vượt ngàn dặm an toàn. Gia đạo bình an, vui vẻ.","Lòng 'Trung Nghĩa' và sự chính trực sẽ giúp bạn vượt qua mọi nguy nan. Khi gặp rắc rối pháp lý hay thị phi, cứ ngay thẳng mà làm, sự thật sẽ bảo vệ bạn. Hậu vận rất tốt, bình an vô sự."
62,"Quẻ Số 62 - Hạ Hạ (Hàn Tín bị hại)","Tiểu nhân đa thị lục lâm lang,\nNgô bả lương tâm phó bỉ nương.\nNhất đán họa lai như sơn đảo,\nKhả liên nhất mệnh táng âm dương.","Tiểu nhân phần nhiều sói rừng xanh,\nTa đem lương tâm gửi lầm nương.\nMột sớm họa đến như núi lở,\nThương thay một mệnh táng âm dương.","Tin lầm kẻ gian (như Hàn Tín tin Lữ Hậu và Tiêu Hà) dẫn đến cái chết thảm. Đem lương tâm trao cho kẻ lòng lang dạ thú. Tai họa ập đến bất ngờ như núi lở, không kịp trở tay.","Cảnh báo nghiêm trọng về sự phản bội. Đừng quá tin tưởng vào những người tỏ vẻ thân thiết bề ngoài nhưng tâm địa khó lường. Cẩn thận trong các mối quan hệ làm ăn và cả tình cảm. Phòng người ngay, khó phòng kẻ gian."
